arm,n_added,metric,mean,ci95
A2_trimer_add_trimer,2200,macro_f1,0.7085048391795402,0.0030140448633827
A2_trimer_add_trimer,2200,accuracy,0.7093408868784377,0.0035877198680822056
A2_trimer_add_trimer,3000,macro_f1,0.714583601815877,0.0046409495461127775
A2_trimer_add_trimer,3000,accuracy,0.7154104634966434,0.004775071028926429
A2_trimer_add_trimer,4000,macro_f1,0.7178687171900031,0.004103815896551577
A2_trimer_add_trimer,4000,accuracy,0.7184937089640366,0.004256094148238669
A2_trimer_add_trimer,4788,macro_f1,0.7229078806246074,0.004158272384200531
A2_trimer_add_trimer,4788,accuracy,0.723333314302417,0.004368135997629113
A3_trimer_add_short,0,macro_f1,0.6754018899629279,0.004332430122993268
A3_trimer_add_short,0,accuracy,0.6776759664615221,0.004758353030174795
A3_trimer_add_short,100,macro_f1,0.679569188901233,0.004766438634134655
A3_trimer_add_short,100,accuracy,0.6821706225129147,0.005011378249148193
A3_trimer_add_short,200,macro_f1,0.6810551687506077,0.003835108184309095
A3_trimer_add_short,200,accuracy,0.6839093825541458,0.004140206407020908
A3_trimer_add_short,350,macro_f1,0.6821818775508565,0.004091268911891507
A3_trimer_add_short,350,accuracy,0.6852465517955807,0.004848878344635355
A3_trimer_add_short,500,macro_f1,0.6835480149544226,0.004198408182326835
A3_trimer_add_short,500,accuracy,0.6866647356903456,0.004926646118027117
A3_trimer_add_short,700,macro_f1,0.6835874552826257,0.00435108459984592
A3_trimer_add_short,700,accuracy,0.686920535709388,0.005110705481160293
A3_trimer_add_short,900,macro_f1,0.6851218108696364,0.003276405661378206
A3_trimer_add_short,900,accuracy,0.6886322986239722,0.003826952231440692
A3_trimer_add_short,1200,macro_f1,0.6855216879862731,0.003307860042850535
A3_trimer_add_short,1200,accuracy,0.6887395448414729,0.0038488527261531695
A3_trimer_add_short,1600,macro_f1,0.684918090631724,0.00478786596882168
A3_trimer_add_short,1600,accuracy,0.6882520359545401,0.0053556620985657395
A3_trimer_add_short,1676,macro_f1,0.6847334687597904,0.0038201508677107553
A3_trimer_add_short,1676,accuracy,0.6881081988365447,0.004411363120867833
A4_short_add_short,0,macro_f1,0.6282848614875254,0.005037734456763674
A4_short_add_short,0,accuracy,0.6310621799661029,0.005876901745802639
A4_short_add_short,100,macro_f1,0.6287796179828844,0.005348829716431185
A4_short_add_short,100,accuracy,0.6316173773909461,0.006000230687014634
A4_short_add_short,200,macro_f1,0.6307982336376382,0.0058274342003651865
A4_short_add_short,200,accuracy,0.6333339406791963,0.006538519452817364
A4_short_add_short,350,macro_f1,0.6329112097635179,0.005436341588924443
A4_short_add_short,350,accuracy,0.6356741645193548,0.006398594908354517
A4_short_add_short,500,macro_f1,0.6358783065231417,0.005281365815204661
A4_short_add_short,500,accuracy,0.6385503604844142,0.006251545862760235
A4_short_add_short,700,macro_f1,0.6374334076807326,0.0054910496827466045
A4_short_add_short,700,accuracy,0.6401341615936047,0.005882018334515398
A4_short_add_short,876,macro_f1,0.6396176292699767,0.0045577653591523295
A4_short_add_short,876,accuracy,0.6422833446435029,0.005293645498514494
