pct,n_molecules_added,n_conformers_added,arm,seed,test_seed,macro_f1,f1_Co+2,f1_Ni+2,f1_Cu+2,f1_Zn+2
0,0,0,unique,0,20250722,0.6414975399915005,0.6369770580296896,0.5471142520612485,0.6840253342716397,0.6978735156034245
0,0,0,duplicate,0,20250722,0.6414975399915005,0.6369770580296896,0.5471142520612485,0.6840253342716397,0.6978735156034245
0,0,0,unique,1,20250701,0.6336342077225179,0.6392937219730942,0.5141372459116613,0.6924694993689524,0.6886363636363636
0,0,0,duplicate,1,20250701,0.6336342077225179,0.6392937219730942,0.5141372459116613,0.6924694993689524,0.6886363636363636
0,0,0,unique,2,20250702,0.6387116987436376,0.6516759776536313,0.5400550485296248,0.6724242424242424,0.6906915263670517
0,0,0,duplicate,2,20250702,0.6387116987436376,0.6516759776536313,0.5400550485296248,0.6724242424242424,0.6906915263670517
0,0,0,unique,3,20250703,0.6323222740741398,0.6342531756460797,0.5234651484843822,0.6761586517506901,0.6954121204154069
0,0,0,duplicate,3,20250703,0.6323222740741398,0.6342531756460797,0.5234651484843822,0.6761586517506901,0.6954121204154069
0,0,0,unique,4,20250704,0.6256467689711117,0.6213189547905433,0.5100176782557454,0.6951856557955669,0.6760647870425914
0,0,0,duplicate,4,20250704,0.6256467689711117,0.6213189547905433,0.5100176782557454,0.6951856557955669,0.6760647870425914
0,0,0,unique,5,20250705,0.6488749278182169,0.6576290741274877,0.5273679200380771,0.699944382647386,0.7105583344599162
0,0,0,duplicate,5,20250705,0.6488749278182169,0.6576290741274877,0.5273679200380771,0.699944382647386,0.7105583344599162
0,0,0,unique,6,20250706,0.647472887356248,0.6393795777682033,0.5347242921013413,0.6972451008236297,0.7185425787318176
0,0,0,duplicate,6,20250706,0.647472887356248,0.6393795777682033,0.5347242921013413,0.6972451008236297,0.7185425787318176
0,0,0,unique,7,20250707,0.6390260331309208,0.6421568627450981,0.5103513174404015,0.6967017543859649,0.7068941979522184
0,0,0,duplicate,7,20250707,0.6390260331309208,0.6421568627450981,0.5103513174404015,0.6967017543859649,0.7068941979522184
0,0,0,unique,8,20250708,0.6485429780368294,0.6381901597848442,0.5283198476915755,0.7010710808179162,0.7265908238529816
0,0,0,duplicate,8,20250708,0.6485429780368294,0.6381901597848442,0.5283198476915755,0.7010710808179162,0.7265908238529816
0,0,0,unique,9,20250709,0.6328199931757983,0.6524900535052819,0.5087097271466009,0.66507747318236,0.7050027188689505
0,0,0,duplicate,9,20250709,0.6328199931757983,0.6524900535052819,0.5087097271466009,0.66507747318236,0.7050027188689505
5,279,2780,unique,0,20250722,0.6758159082798472,0.6815433342931183,0.5692780337941629,0.7119089316987741,0.7405333333333334
5,279,2780,duplicate,0,20250722,0.6678958573010845,0.656221198156682,0.5817166782972785,0.6996029995588884,0.7340425531914894
5,279,2781,unique,1,20250701,0.6568467741762842,0.6597675077969947,0.5361663652802894,0.7095259063554968,0.721927317272356
5,279,2781,duplicate,1,20250701,0.6527740984786374,0.6771879483500718,0.49769899437531956,0.7106382978723405,0.7255711533168181
5,279,2772,unique,2,20250702,0.6719074669784562,0.6874322860238353,0.5540682809445029,0.7061895254185225,0.7399397755269641
5,279,2772,duplicate,2,20250702,0.6612060463841423,0.6438843358589763,0.577061855670103,0.6940022511657823,0.7298757428417072
5,279,2780,unique,3,20250703,0.6639125552062198,0.660665242599939,0.5612670986321094,0.6958786578826414,0.7378392217101895
5,279,2780,duplicate,3,20250703,0.6529972637297777,0.656067196640168,0.5531726076024257,0.6789490547901313,0.7238001958863859
5,279,2776,unique,4,20250704,0.6538603538016527,0.6643392810964572,0.5149042987135237,0.717369259742141,0.718828575654489
5,279,2776,duplicate,4,20250704,0.6544909492800278,0.628247237981487,0.5439446366782007,0.7240380637153496,0.7217338587450742
5,279,2774,unique,5,20250705,0.6747062643278443,0.6863187588152327,0.5572983354673495,0.7155172413793104,0.7396907216494846
5,279,2774,duplicate,5,20250705,0.6748107590642611,0.6741214057507987,0.56,0.7166666666666667,0.7484549638395792
5,279,2774,unique,6,20250706,0.6806157037381585,0.6730935251798561,0.5636119001345493,0.7245175125089349,0.7612398771292935
5,279,2774,duplicate,6,20250706,0.6711589312409648,0.645043398812243,0.5681440443213296,0.7218268090154211,0.7496214728148658
5,279,2784,unique,7,20250707,0.6720021186595412,0.6687324774974177,0.5477841422972566,0.7205644568572689,0.7509273979862215
5,279,2784,duplicate,7,20250707,0.656313789847168,0.6756896107244135,0.4717779003493289,0.7222380005680205,0.7555496477469095
5,279,2777,unique,8,20250708,0.6810987656771527,0.6689178324489468,0.5661719233147805,0.7240133407448582,0.7652919662000253
5,279,2777,duplicate,8,20250708,0.6671981585490873,0.6555572087486982,0.535779210047926,0.7144089732528042,0.7630472421469207
5,279,2770,unique,9,20250709,0.6571782610419019,0.67244884130641,0.5237799191793596,0.6892138939670932,0.7432703897147449
5,279,2770,duplicate,9,20250709,0.6508829577283288,0.6705232711017618,0.511153000314169,0.6849992275606365,0.7368563319367482
10,559,5566,unique,0,20250722,0.6806258312900305,0.6824034334763949,0.5643076923076923,0.7204285507456204,0.7553636486304143
10,559,5566,duplicate,0,20250722,0.6773393249513986,0.6621536523929471,0.5943306659433066,0.7056232564968433,0.7472497249724972
10,559,5556,unique,1,20250701,0.6675222565077387,0.6717272987682612,0.5538053878993081,0.7128422902328305,0.7317140491305548
10,559,5556,duplicate,1,20250701,0.6587501207017206,0.6863935909032175,0.5013898540653231,0.7156094084105489,0.7316076294277929
10,559,5567,unique,2,20250702,0.6799429895251875,0.6886405432168624,0.568708256359244,0.7113242574257426,0.7510989010989011
10,559,5567,duplicate,2,20250702,0.6642742884655889,0.6455500618046972,0.5780705153041457,0.6983039791258969,0.7351725976276157
10,559,5554,unique,3,20250703,0.6722962783702735,0.682043299844347,0.5545257954896509,0.7060079292467215,0.7466080889003748
10,559,5554,duplicate,3,20250703,0.6636554713858116,0.6710291493158834,0.566340160284951,0.6837387964148528,0.733513779527559
10,559,5557,unique,4,20250704,0.6693838717090598,0.6650082918739635,0.5506531204644413,0.7278802847595526,0.7339937897382818
10,559,5557,duplicate,4,20250704,0.6647323621963097,0.6302406538519751,0.561873815326293,0.7311827956989247,0.735632183908046
10,559,5567,unique,5,20250705,0.6872224144687065,0.6926717338304891,0.5649968294229549,0.7331692485883886,0.7580518460329929
10,559,5567,duplicate,5,20250705,0.6811439049782947,0.6822819370599223,0.5574132492113565,0.7255349500713266,0.7593454835705734
10,559,5566,unique,6,20250706,0.6884158036236492,0.6786786786786787,0.5723204994797086,0.7318932655654383,0.7707707707707707
10,559,5566,duplicate,6,20250706,0.680995087230615,0.6657722122838402,0.5750457166971444,0.7262487031273158,0.7569137168141593
10,559,5570,unique,7,20250707,0.6768123798782417,0.6873270614277809,0.5396257119609439,0.7209370424597364,0.7593597036645059
10,559,5570,duplicate,7,20250707,0.651040296172728,0.6750126454223571,0.45440729483282677,0.7195556188577126,0.7551856255780156
10,559,5564,unique,8,20250708,0.6946884586522768,0.6800193829752867,0.5889310083396513,0.7309027777777778,0.7789006655163915
10,559,5564,duplicate,8,20250708,0.6742078082213759,0.6705288175876412,0.5434423521638586,0.7153222364489971,0.7675378266850069
10,559,5565,unique,9,20250709,0.6706970555177225,0.683561458192167,0.5492681454655198,0.6946408926606946,0.7553177257525083
10,559,5565,duplicate,9,20250709,0.6622914856595815,0.6809912997627208,0.5279455023997522,0.6892796016804108,0.7509495387954422
15,838,8342,unique,0,20250722,0.6907481893419598,0.698552370139086,0.5736072206660442,0.7254480286738352,0.7653851378888737
15,838,8342,duplicate,0,20250722,0.6858368111507849,0.6713637075309222,0.6027770215083038,0.716785290628707,0.7524212249352067
15,838,8341,unique,1,20250701,0.6795362073040985,0.6967383761276891,0.5617265318442499,0.7172812725958062,0.7423986486486487
15,838,8341,duplicate,1,20250701,0.6609248336417999,0.6882684426229508,0.5024578651685393,0.718413597733711,0.7345594290419983
15,838,8338,unique,2,20250702,0.6813060292834474,0.6947923533289387,0.5476923076923077,0.7183660933660934,0.7643733627464497
15,838,8338,duplicate,2,20250702,0.6676229095872734,0.6522877830842705,0.5836344863190501,0.6959526159921027,0.7386167529536705
15,838,8336,unique,3,20250703,0.6810015123840594,0.6884239888423989,0.5622250157133878,0.7126710291493159,0.7606860158311346
15,838,8336,duplicate,3,20250703,0.6643569171619886,0.6725689833259554,0.5661775603972136,0.6821904608960977,0.736490664028688
15,838,8337,unique,4,20250704,0.6812841901545481,0.6704577765140745,0.5757872638208538,0.7352517985611511,0.7436399217221135
15,838,8337,duplicate,4,20250704,0.668626852828762,0.6362807657247037,0.5629569455727051,0.7340896513558384,0.7411800486618005
15,838,8338,unique,5,20250705,0.6920053597722133,0.7067565707995046,0.5608746065926785,0.7341258335749493,0.7662644281217209
15,838,8338,duplicate,5,20250705,0.687058848004814,0.6933721777130372,0.573374613003096,0.7211800085922956,0.7603085927108274
15,838,8347,unique,6,20250706,0.6999826918787682,0.6925835604647826,0.5872923345963276,0.7388770433546553,0.7811778290993071
15,838,8347,duplicate,6,20250706,0.6850586223887773,0.6742704784476374,0.5839313353032222,0.7237924330791087,0.7582402427251413
15,838,8345,unique,7,20250707,0.6874750234195959,0.6975588364274229,0.5667121005603514,0.72,0.7656291566906092
