molecule,metal,length,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
A|Ni+2,Ni+2,1,0.036761672588329686,-0.013274947097117112,-0.0038620816882687075,-0.005489100885613903,0.002681625420156047,0.009910386694574936,0.0026283530258497728,-0.005655691753779156,0.005808364099833236,-0.00706597752963729
Y|Co+2,Co+2,1,0.051301333797126605,0.055268848828812445,-0.01017974283321354,0.019925817551609694,0.00724696654624086,0.00767929418556995,-0.004786357920010226,-0.008738209351427174,-0.00890554806495215,0.008652238602526292
W|Co+2,Co+2,1,0.03780461951768848,-0.04171918611252355,0.00011474501046079152,-0.016593741840063746,0.01628297098658349,0.018627154087697058,0.0077074120968619415,-0.0017999720633248908,-0.018571102957371712,0.0029727753383462607
M|Co+2,Co+2,1,0.06800519872415217,-0.016789820764917977,0.011981235647236308,0.00121138380593827,0.012318012468916244,-0.013801843509141277,0.0043800683942195945,-0.017912495814755458,-0.012514136789111906,-0.0022528599264743294
I|Ni+2,Ni+2,1,0.02819308616119512,-0.00910508341297062,-0.0011310083605070105,-0.014902650618211971,0.012521358988925696,0.006381920178423975,0.007176041332213356,-0.01481290533950518,-0.011170907711501709,-0.0010628318590808342
Q|Co+2,Co+2,1,-0.002267533266657261,-0.020455432499299677,-0.00934780938561515,-0.016513313764328224,-0.0047487583132749325,0.004415316238124029,0.017187091609136822,-0.008531018051702638,-0.0008471360096802427,0.00289860887004964
Y|Ni+2,Ni+2,1,0.0336188529231219,0.02328308799731693,-0.01287901557723722,0.00574271588977207,0.016071769403179323,-0.01707954787151651,0.0011490349532968071,-0.016270314042059565,0.010925236162056746,0.0013532714580641223
D|Co+2,Co+2,1,0.0014917274323585986,0.0006401255873562106,0.005704375472117046,-0.019480233842062857,0.006833726160409297,0.006845301883943522,0.023220892339565202,-0.021206703084226335,0.013305052721646516,-0.007088476005325148
G|Co+2,Co+2,1,0.06717923298742963,0.01183534814425996,-0.003935454649638757,0.02069549480582098,-0.021307837272592115,-0.014403930161433449,0.029709394492261405,-0.03047493534479883,-0.009574892984047793,0.00048099672925455217
W|Ni+2,Ni+2,1,0.019385440940478345,-0.025641919041639077,0.00044705266001196097,0.00029203956179911636,0.005954669178025293,0.011695793886682834,0.009277759850595507,-0.008310222560417935,-0.01911731822087035,-0.006889283087114031
N|Zn+2,Zn+2,1,0.012722066622059415,-0.018296505007476475,0.041446988776863,0.0013702872047617841,0.0033089919567298644,-0.002245621349386431,-0.0051286373597480206,-0.01523732377083809,0.031066499629506698,-0.013855294124901264
L|Co+2,Co+2,1,0.059611924237741046,-0.0299254191910469,0.0038907433530566958,-0.00821841127311159,0.013237285575327795,-0.003554159794990848,0.004230073131491568,-0.016867086582246747,-0.010439562751275456,-0.004043833526002991
W|Cu+2,Cu+2,1,0.014242849753631756,-0.019506281343965075,-0.011141177632677374,-0.01121169381987358,0.0019883848404652037,0.02150942322514027,0.02390681999656145,-0.00411895801533997,-0.0038901625298532784,-0.02286543765849713
R|Ni+2,Ni+2,1,0.00561348258785184,0.0028731022941941506,-0.007706513943410232,-0.004693403923495195,-0.010480665268809409,0.015750942882578046,0.0029908496606902,0.0018416042689303825,-0.011235264757471431,-0.005723010681268092
Q|Ni+2,Ni+2,1,-0.0068280828252412044,0.00518773676515193,-0.015168949336725825,-0.008073050970412617,-0.0016658559298896643,0.0061161639439259825,-0.0060881581574972095,-0.01811738056944557,0.004346715262806975,0.0026943893772479193
K|Cu+2,Cu+2,1,-0.013317964844303858,-0.008237924220370865,-0.020661455936712946,0.011689775976155867,0.014836704474171068,0.019373795440897876,0.018279753518293806,-0.0028190156853857857,0.008444014039382839,-0.014912779791855024
D|Ni+2,Ni+2,1,0.023634461009926645,-0.002456182883876482,-0.008331590928343032,-0.0020618974339782293,-0.004622731193144474,0.0005234204064445906,0.017707031903591394,-0.011993640324209133,-0.003725949533754819,-0.0064010674797690854
Y|Zn+2,Zn+2,1,-0.005049820478398958,-0.009673576750314807,0.018797114663156495,-0.0014959175747527621,-0.009007043072767208,0.009010242012846056,0.003254322853954372,-0.0015395228546978392,0.013626535694998275,-0.013829589794928857
G|Ni+2,Ni+2,1,0.0295363962490289,0.021217910911727606,-0.001590859198232929,0.027074308622643498,-0.0012929815729978578,0.012507732035517331,0.03338713603260452,-0.009014586536495338,0.011276024495559141,-0.02912250579703252
M|Ni+2,Ni+2,1,0.05117562744265847,-0.017138459357719762,0.009819896743984268,0.005455835518087625,0.005405435821573554,-0.009767020095768979,0.015652278403209596,-0.014717035556308404,0.00046442916649461305,-0.016534114917774588
H|Cu+2,Cu+2,1,-0.018117255623439132,0.00037075554442526915,-0.015208255554302453,-0.004974603454197756,-0.011543402311194158,0.0277493794633148,0.018924710480387425,0.002174703496365474,0.0124850368057906,-0.010152596915961196
Y|Co+2,Co+2,1,0.010395414049037741,0.0511572823813012,-0.018105958929220352,-0.03505931415699836,0.02636079149728962,0.027615342933285505,-0.0077438919793807225,0.004724877117519649,0.0022978342836988837,-0.011659578275096921
N|Cu+2,Cu+2,1,-0.02165853608696541,-0.004889910787782827,0.0004465248855098048,-0.005777241661788667,-0.01572191994596291,0.017681536165094425,0.016785726455669343,-0.00751666071172199,0.018038118095935633,-0.0058568206577119565
R|Co+2,Co+2,1,-0.009963770748233713,-0.013711221640753132,-0.0018110158414372558,0.002986363917717035,0.009961124092091529,-0.0009459274792428349,-0.006542232451500768,0.0019269632012990302,-0.015333885058748303,0.0027544398614047943
W|Zn+2,Zn+2,1,-0.004988030690548609,-0.027457763708798558,-0.007941720168910952,-0.009190890707268608,-0.00642502674419374,0.01575742890469654,0.015433549261953873,0.0005136695096503319,-0.011211374860279592,-0.009656336014992523
F|Cu+2,Cu+2,1,0.027148689723690708,0.010015982645862582,-0.021083511251764428,0.008081179749894231,-0.010506937904305201,0.027757434558351297,0.037454746973661274,-0.017592106747367456,-0.00844225801780211,-0.02439848778948221
