wavenumber,PC1_loading,PC2_loading
50,0.006101388067968024,-0.005990129600822363
55,0.004133652366893059,-0.0038339268635992907
60,0.0022752222087725205,-0.001723011674778202
65,0.0015012292644215885,-0.0007579704211213012
70,0.0014357386400379868,-0.0005738755675666063
75,0.0016721963242626176,-0.0007361528472409895
80,0.00198649948487329,-0.0010125091627882776
85,0.0023027860136401435,-0.0011907479254394393
90,0.002598799851700786,-0.0011199842489915367
95,0.0028426823227480132,-0.0008919343738501336
100,0.003065462913598496,-0.0007143294785557845
105,0.0032667832028745783,-0.0006042000475512278
110,0.0034352081409975703,-0.0004942248636394078
115,0.0035598495237338574,-0.0004619057774000616
120,0.003621994847913841,-0.0006269488563070539
125,0.003650497603964011,-0.0009891621234713326
130,0.0037102956564922904,-0.001331998362874525
135,0.0039748367067965655,-0.0014404824918487044
140,0.0044678686376401905,-0.001443676471092429
145,0.004827144492378285,-0.001507357492493362
150,0.004837797423890854,-0.0014948383972039204
155,0.004779419735053258,-0.0012968190295379824
160,0.004957064744390645,-0.0011556613456420175
165,0.005413780403408471,-0.0012819448282884085
170,0.006004593844714403,-0.0012414768237166709
175,0.006521637214713317,-0.0006761968825672848
180,0.006936426335365332,-4.295473594834886e-05
185,0.007249994207846784,0.00020972719947826363
190,0.007273851288194965,0.0003438576507014175
195,0.007108874695376986,0.000619432446428937
200,0.0071047017909464626,0.0008289660940571494
205,0.007078605538485833,0.0009012480889513824
210,0.006571656211470254,0.0009213581483397526
215,0.005642787247246522,0.0007092729001157309
220,0.004818484420807116,0.00025300707103201585
225,0.004408170137686441,0.00017373482666570614
230,0.004323713313388917,0.0009394825607223967
235,0.004518189885745949,0.0020896726149631905
240,0.004807238166946973,0.0027921250564082725
245,0.00473605934560297,0.0028337011068963643
250,0.004321876073185,0.002615712165759333
255,0.0039646277564194445,0.0025025198000583333
260,0.003713697284229808,0.0025524875856402585
265,0.003425584465920352,0.002546813995297987
270,0.0031862755641106216,0.0020694539178676865
275,0.003271700904363447,0.001158752883301629
280,0.003541357282829833,0.0002549346342940178
285,0.003581021016496137,-0.0009637595381882511
290,0.003725447345755575,-0.0029472348392070432
295,0.004433024870527666,-0.0052153436503547
300,0.005381661485516107,-0.007434839829446834
305,0.005944245772044604,-0.009842179896473994
310,0.005610280193948569,-0.012622326871900699
315,0.004316402047457322,-0.01583155534625655
320,0.0027192389665334177,-0.019042198875178037
325,0.001376017436918324,-0.02194498761947394
330,0.00034523524570760227,-0.025102167585008123
335,-0.00031320610182360826,-0.02855263184126196
340,-0.0006681760149244945,-0.03135841740702167
345,-0.000857064750794008,-0.0334393737351123
350,-0.0007283376389927358,-0.03513533459179561
355,3.297983277230881e-05,-0.03582227898246737
360,0.001673860029115262,-0.03511482119143819
365,0.004206730807686595,-0.034116171384618296
370,0.007401303627490555,-0.03403299446809951
375,0.010779667047749733,-0.03469534372514201
380,0.0135766945005336,-0.03548504493137194
385,0.015386128635927832,-0.03665454931039975
390,0.01668447675313634,-0.03851931071748231
395,0.018241944281263755,-0.04030696177187623
400,0.020142237773917993,-0.04102040067094924
405,0.022012618245796513,-0.04104881330492323
410,0.023388995914434017,-0.04197771153223504
415,0.023421370577025803,-0.04440514898053227
420,0.02145138969427259,-0.04796028593204936
425,0.018712021548329454,-0.052668261611800056
430,0.018441245291646723,-0.05732307587520154
435,0.022588151975323215,-0.06009420685348185
440,0.0302425794386947,-0.06060986167934034
445,0.03946716503035178,-0.0601525520087137
450,0.049705633297943544,-0.06146331721514086
455,0.06245119031236937,-0.06622818658821959
