,Co+2,Ni+2,Cu+2,Zn+2
Co+2,0.798019093078759,0.15408114558472552,0.02615751789976134,0.021742243436754176
Ni+2,0.19775656324582339,0.7060859188544153,0.04276849642004773,0.053389021479713604
Cu+2,0.03910209992758871,0.029230026550808596,0.8900796524257784,0.04158822109582429
Zn+2,0.02553658536585366,0.04158536585365853,0.03890243902439024,0.8939756097560976
