,Co+2,Ni+2,Cu+2,Zn+2
Co+2,0.6118747500142849,0.2512679275469973,0.07750528541226216,0.059352037026455626
Ni+2,0.20891085714285715,0.4884537142857142,0.130024,0.17261142857142855
Cu+2,0.0724236111111111,0.07018287037037038,0.6871793981481481,0.17021412037037037
Zn+2,0.0553674807123383,0.07439758686698764,0.11236846684842508,0.7578664655722489
