,Co+2,Ni+2,Cu+2,Zn+2
Co+2,0.609356742224964,0.2542743048278256,0.0733391901406203,0.0630297628065902
Ni+2,0.21538290345275582,0.4935991382449768,0.12448261185528772,0.1665353464469796
Cu+2,0.07196224532259991,0.07082860238148363,0.6825675045051196,0.17464164779079694
Zn+2,0.05391230495463857,0.07608528308954457,0.11500935920567634,0.7549930527501405
